"* Required Fields","* Champs requis"
"The next update execution date indicates when the next cron is run to update the transaction state.","La prochaine date d'exécution de mise à jour indique lorsque le cron suivant sera exécuté pour mettre à jour l'état de la transaction."
"The order is not fully completed. Please contact the store owner.","Le paiement ne peut être effectué."
"The password key given by Realex which is needed in order to perform a refund.","Le mot de passe donné par Realex qui est nécessaire afin d'effectuer un remboursement."
"The payment failed. The response data has been tampered. Please contact the merchant.","Le paiement a échoué. Les données de la réponse ont été falsifiés. Veuillez contacter le marchand."
"The payment form will be displayed after submitting the order.","La forme de paiement sera affichée après avoir confirmé la commande."
"The payment has been accepted.","Le paiement a été accepté"
"The payment has been denied.","Le paiement a été refusé."
"The payment method !paymentMethodName does not support the currency '!currency'.","La méthode de paiement !paymentMethodName ne supporte pas la devise '!currency'."
"The payment method !paymentMethodName is not available in your country ('!country').","La méthode de paiement !paymentMethodName n'est pas disponible dans votre pays ('!country')."
"The payment update has been made.","La mise à jour de paiement a été effectué."
"The paymnet system seems currently to be offline. Please try it later again.","Le système de paiement semble être actuellement hors ligne. Veuillez réessayer plus tard."
"The provided signature does not match with the one calculated.","La signature fournie ne correspond pas à celle calculée."
"The rang (PBX_RANG) as defined in the live backoffice of Realex. It must be nummeric value with length two. In the backoffice it may be displayed as a three char value. You must truncate the first digit.","Le champ 'rang' (PBX_RANG) tel que défini dans le backoffice de production de Realex. Il doit être nummeric avec deux caractères de long. Dans le backoffice il peut être affiché comme trois caractères. Vous devez tronquer le premier chiffre."
"The redirect response from PayPal was unsuccessful.","La réponse de redirection de PayPal a échoué."
"The refund item with SKU '@sku' has a higher amount (@amountItem) as the original item (@amountOriginal).","L'article de remboursement avec SKU '@sku' a un montant plus élevé (@amountItem) comme l'article d'origine (@amountOriginal)."
"The refund item with SKU '@sku' is not present in the original order.","L'article de remboursement avec SKU '@sku' n'est pas présent dans la commande originale."
"The refunding could not be conducted. Error code: !error.","Le remboursement n'a pas pu être réalisé. Code d'erreur: !error."
"The response hash seems to be manipulated, hence the transaction was rejected.","Le Hash de la réponse semble être manipulé, la transaction a été rejetée."
"The response seems to be manipulated, hence the transaction was rejected.","La réponse semble être manipulée, à cause de ça la transaction a été rejetée."
"The retailer is not known.","Le distributeur n'est pas connu."
"The shopping cart has been altered!","Le panier a été changé!"
"The signature could not be verified.","La signature ne peut pas être vérifiée."
"The signature key given by Realex .","La clé de signature donnée par Realex."
"The site id (PBX_RANG) as defined in the backoffice of Realex.","L'identifiant du site (PBX_RANG) tel que défini dans le backoffice de Realex."
"The total refund amount (!totalRefundedAmount) cannot be greater than the captured amount (!capturedAmount).","Le montant total du remboursement (!totalRefundedAmount) ne peut pas être supérieur à la quantité capturée (!capturedAmount)."
"The transaction cannot be cancelled online.","La transaction ne peut être annulée en ligne."
"The transaction cannot be captured online.","La transaction ne peut être capturée en ligne"
"The transaction cannot be refunded online.","La transaction ne peut être remboursé en ligne."
"The transaction failed due to an unkown reason.","La transaction a échoué à cause d'une raison inconnue."
"The transaction failed with error code !code.","L'opération a échoué avec le code d'erreur: !code."
"The transaction is only executed in the test system. The goods should not be delivered.","La transaction a est exécutée uniquement dans le système de test. Les produits ne doivent pas être livrés."
"The transaction was not valid. The bank refuse it.","La transaction n'est pas valide. La banque a refusé la transaction."
"The transactions with one of the selected CVN Reuslts will be marked as uncertain. (Here Realex-Payment recommend 'CVN Not Matched' and 'CVN Not Processed')","Les transactions avec un des résultat des CVN sélectionnés, seront marquées comme incertaines. (Ici Realex recommande 'CVN ne correspond pas' et 'CVN pas traité')"
"The transactions with one of the selected CVN Reuslts will be marked as uncertain. (Here Realex recommend 'CVN Not Matched' and 'CVN Not Processed')","The transactions with one of the selected CVN Reuslts will be marked as uncertain. (Here Realex recommend 'CVN Not Matched' and 'CVN Not Processed')"
"The whole transaction is cancelled.","Toute la transaction a été annulée."
"There has been a problem during the processing of your payment.","Il y a eu un problème lors du traitement de votre paiement."
"There has been a problem during the processing of your payment. Please contact the shop owner to make sure your order was placed successfully.","Il ya eu un problème lors du traitement de votre paiement. Veuillez contacter le propriétaire de la boutique pour vous assurer que votre commande a été placée avec succès."
"There is a problem with your license. Please contact us (www.sellxed.com/support). Reason: %1","Il y a un problème avec votre licence. S'il vous plaît nous (www.sellxed.com/support) contacter. Raison: %1"
"There is a problem with your license. Please contact us (www.sellxed.com/support). Reason: %s","Il y a un problème avec votre licence. S'il vous plaît contactez-nous (www.sellxed.com/support). Raison: %s"
"There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account.","Il y a déjà un client enregistré avec cette adresse e-mail. Connectez-vous à l'aide de cette adresse ou insérez une adresse e-mail différente pour l'enregistrer votre compte."
"There occours a network outage at the bank side.","Il y a eu une panne de réseau du côté de la banque."
"There occours an error with the payment system.","Une erreur avec le système de paiement a eu lieu."
"There seems to be a problem with the Realex module.","Il semble avoir un problème avec le module de Realex."
"There seems to be an error in the implementation of the payment module. Details: '!details'.","Il semble y avoir une erreur dans la configuration du module de paiement. Détails: '!details'."
"There seems to be an error of your Realex account. Details: '!details'.","Il semble y avoir une erreur dans la configuration de votre compte Realex. Détails: '!details'."
"There was an error validating the login and password.","ll y eu une erreur pendant la validation du login et du mot de passe."
"There was no PayPal token returned. Please contact your merchant.","Il n'y a aucun token PayPal retourné. Veuillez contacter votre marchand."
"This URL has to be placed in the backend of Realex under Configuration > Technical Information > Transaction Feedback and their in the two fields for 'Direct HTTP server-to-server request'.","Cette URL doit être placé dans le backend de Realex sous Configuration > Technical Information > Transaction Feedback, dans les deux champs pour 'Direct HTTP server-to-server request'."
"This URL has to be reported to Realex. The transaction notification must be sent to this URL.","Cette URL doit être signalée à ___paymentServiceProviderName___. La notification de transaction doit être envoyée à cette URL."
"This account is not confirmed. <a href=""%s"">Click here</a> to resend confirmation email.","Ce compte n'est pas confirmé. <a href=""%s"">Cliquez ici</a> pour renvoyer l'email de confirmation."
"This is a brief instruction of the main and most important installation steps, which need to be performed when installing the Realex module. For detailed instructions regarding additional and optional settings, please refer to the enclosed instructions in the zip.","Ceci est une brève instruction des étapes de l'installation, qui doivent être effectuées lors de l'installation du module Realex. Pour obtenir des instructions détaillées concernant les paramètres supplémentaires et optionnels, veuillez vous référer aux instructions dans le zip du module."
"This is the URL required by the Skin Creator","Ceci est l'URL requis pour le Skin Creator."
"This is the name of the account holder).","Ceci est le nom du titulaire du compte."
"This is the technical alias token (Alias Manger/Realvault).","Ceci est l'alias token technique (Alias Manager/RealVault)."
"This password is used for recurring payments and for the alias manager as well as for the server authorization. This is the password of the Realex account.","Ce mot de passe est utilisé pour les paiements récurrents et pour la gestion des alias, ainsi que pour l'autorisation du serveur. C'est le mot de passe du compte Realex."
"This setting can be used to activate resp. deactivate the 3D secure check. Please check with PayBox if you are allowed to deactivate the 3D secure check. This setting has only an effect when you use the payment page.","Ce setting peut être utilisé pour activer ou désactiver le contrôle 3D Secure. Veuillez vérifier avec PayBox si vous êtes autorisé à désactiver le contrôle 3D Secure. Ce paramètre aura seulement un effet que si vous utilisez la page de paiement."
"This status is set, when the payment was successfull and it is authorized.","Cet état est défini, lorsque le paiement a été un succès et il est autorisé."
"This transaction is already closed for further captures.","Cette transaction a déjà été fermée pour plus de comptabilisations."
"This transaction is already closed for further refunds.","Cette transaction a déjà été fermée pour d'autres remboursements."
"This transaction no longer exists.","Cette transaction n'existe plus."
"Timeout for pending payments (min)","Timout pour les paiements en attente (min.)"
"Titel","Titre"
"Title","Titre"
"Title of the payment method","Nom de la méthode de paiement"
"To use the RealVault some banks require additional security measures to make sure that the customer account can not be used by an attacker. With this option you can control, what measure is applied. Either the CVC can be asked always or the delivery address is checked, if it is the same as in the initial transaction.","Pour utiliser le RealVault certaines banques exigent des mesures de sécurité supplémentaires afin de s'assurer que le compte du client ne peut pas être utilisé par un attaquant. Avec cette option, vous pouvez contrôler, quelle mesure est appliquée. Soit le CVC peut être demandé toujours ou l'adresse de livraison est contrôlée, si elle est la même adresse  que dans la transaction initiale."
"Total","Total"
"Total Shipping Charges","Total des frais d'expédition"
"Track order history","Suivi de la commande"
"Transaction","Transaction"
"Transaction Authorized","Transaction autorisée"
"Transaction Cancelled","Transaction annulée"
"Transaction Captured","Transaction comptabilisée"
"Transaction History","Relevé des opérations"
"Transaction ID Prefix","Transaction ID Prefix"
"Transaction Id","Transaction ID"
"Transaction Paid","Transacion payée"
"Transaction Uncertain","La transaction est incertaine"
"Transaction Updates","Mises à jour pour les transactions"
"Transaction cancelled successfully","La transaction a été annulée"
"Transaction captured successfully","Transaction capturé avec succès"
"Transaction history","Historique de transactions"
"Transaction was authorized over the deferred authorization mechanism.","L'opération a été autorisée avec le mécanisme d'autorisation différé."
"Transactions","Transactions"
"Transactions with one of the selected statuses will be marked as certain. Uncertain transactions need manual confirmation by the merchant. This service only works for UK cardholders as it uses the street address and postcodes of the cardholders. The Realauth redirect service supports AVS where it is supported by the merchant???s acquiring bank and the cardholder???s issuing bank. If a transaction fails an AVS check it will not automatically be declined by your bank. It is an advisory service and requires that the details of non matched transactions be checked by the merchant.","Les transactions avec l'un des statuts sélectionnés seront marquées comme certaines. Les transactions incertaines doivent être confirmées manuellement par le marchand. Ce service ne fonctionne que pour les titulaires des cartes du Royaume-Uni car il utilise l'adresse de la rue et les codes postaux des détenteurs de cartes. Le service Realauth redirect accepte AVS où il sera accepté par la banque d'acquisition du marchand et par la banque émettrice. Si une transaction échoue à un AVS vérifier qu'il ne sera pas automatiquement refusé par votre banque. C'est un service consultatif et exige que les détails des transactions non appariés soient vérifiées par le marchand."
"Transactions with one of the selected statuses will be marked as certain. WARNING: Uncertain transactions by the definition of Realex Payments (default value) are not covered by the credit card company, the merchant carries the risk. Nevertheless some merchants prefer to take some risk instead of checking uncertain transactions manually.","Transactions avec l'un des statuts sélectionnés seront marqués comme certaine. ATTENTION: les transactions incertaines par la définition de Realex (Valeur par défaut) ne sont pas couvertes par la compagnie de carte de crédit, le commerçant porte le risque. Néanmoins, certains commerçants préfèrent prendre des risques au lieu de vérifier les transactions incertaines manuellement."
"U: Unable to check (not certified etc)","U: Unable to check (not certified etc)"
"URLs","URLs"
"Unable to save the invoice.","Impossible d'enregistrer la facture."
"Uncertain Status","Statut incertain"
"Uncertain transactions","Transactions incertaines"
"Update","Mettre à jour"
"Update Qty's","Ajuster la quantité"
"Update interval for payments","Interval de l'actualisation pour paiements via API"
"Update order and transaction information over cron.","Mettre à jour la commande et les informations de transaction avec le cron."
"Update process by accessing the update URL or by invoking in the admin interface.","Processus Mettre à jour en accédant à la mise à jour URL ou en appelant à l'interface d'administration."
"Use Base Currency","Utiliser devise de base"
"Use Default","Utilisez les paramètres standard"
"Use base currency","Utiliser la devise de base"
"VISA","VISA"
"Validation","Valider"
"Version","Version"
"View","Afficher"
"Wait On Success Page","Attendre sur la page de la réussite"
"We can not process the 3-D secure response, because we do not get the additional data transmitted with the redirection to the ACS service.","Nous ne pouvons pas traiter la réponse 3D Secure, parce que nous n'avons pas les données supplémentaires transmises à la redirection vers le service ACS."
"We cannot get the transaction instance.","Nous ne pouvons pas établir une transaction."
"We experienced a problem with your sellxed payment extension. For more information, please visit the configuration page of the plugin.","Il y a un problème avec votre module de paiement sellxed. Pour plus d'informations, veuillez visiter la page d'informations du plugin."
"When the store is not available (network outage, server failure or any other outage), when the feedback of Realex is sent, then the transaction state is not updated. Hence no order confirmation e-mail is sent and the order is not in the paid state. By activating the transaction update, such transactions can be authorized later over direct link. To use this feature the update service must be activated and the API username and the API password must be set.","Lorsque la boutique n'est pas disponible (panne de réseau, une panne de serveur ou de toute autre panne), après le retour de Realex envoyé,  le statut de la transaction ne sera pas mis à jour. Par conséquent, aucune confirmation de commande sera envoyé par e-mail et la commande n'aura pas le statut payé. En activant la mise à jour de la transaction, ces opérations peuvent être autorisées plus tard sur la liaison directe. Pour utiliser cette fonction, le service de mise à jour doit être activé et le nom d'utilisateur de l'API et le mot de passe de l'API doit être aussi configuré."
"When using an external checkout, the customer can either be asked to chose an option to authenticate (as guest, register or login) or he can always be checked out as guest. For the second option to work, guest checkout has to be enabled in magento.","Lorsque vous utilisez une commande externe, le client peut soit sélectionner une option d'authentification (en tant qu'invité, inscription ou login) ou il peut toujours être vérifié en tant qu'invité. Pour la deuxième option, guest checkout doit être activé chez Magento."
"With this option set to yes, all valid transactions will be marked as certain. WARNING: Uncertain transactions by the definition of Realex (default value) are not covered by the credit card company, the merchant carries the risk. Nevertheless some merchants prefer to take some risk instead of checking uncertain transactions manually.","En activant cette option, toutes les transactions valides seront marqués comme certaine. ATTENTION: les transactions incertaines par la définition de Realex (valeur par défaut) ne sont pas assurées par la compagnie de carte de crédit, le commerçant porte le risque. Néanmoins, certains commerçants préfèrent prendre des risques au lieu de vérifier les transactions incertaines manuellement."
"With this setting set to active, an AVS-Check (Address Verification System) is carried out. According to your AVS-Settings.","Avec ce paramètre activé, un contrôle d'AVS (Address Verification System) est effectuée en fonction de vos paramètres AVS."
"With this setting set to active, you customers credit card credential will be stored safely at Realex. A token refering to the stored information is stored together with the corresponding customer data. That way your customer only need to type the minimum amount of data. Realex takes charges for the RealVault-Service. Please make sure to activate RealVault at Realex first.","En activant ce paramètre, les informations de la carte de crédit du client seront stockées en toute sécurité chez Realex. Un alias référant aux informations de la carte de crédit sont stockées ensemble avec les données de la carte du client correspondant.  De cette façon, votre client a seulement besoin insérer une quantité minimale de données. Realex prend les frais du service RealVault. S'il vous plaît assurez-vous d'activer RealVault chez Realex avant d'activer cette option."
"Year","Année"
"Yes","Oui"
"Yes, please store my card data for next time.","Yes, please store my card data for next time."
"Yes, use images for the brand selection.","Oui, utiliser des images pour la sélection du type."
"You are not allowed to do this transaction.","Vous n'êtes pas autorisé à faire cette opération."
"You can allow the customers to manage/delete their aliases in the their account.","Vous pouvez permettre aux clients de gérer / supprimer leurs alias dans leur compte."
"You can decide on the order status new orders should have after they are processed successfully.","Spécifiez le statut de la commande pour les nouvelles commandes qui ont été traitées avec succès."
"You can decide on the order status new orders should have that have an uncertain authorization status.","Spécifiez le statut de la commande pour les nouvelles commandes avec un statut d'autorisation incertain."
"You can specify the order status for new orders that have an uncertain authorisation status.","Vous pouvez spécifier le statut de la commande pour les nouvelles commandes qui ont un statut d'autorisation incertain."
"You can specify the order status for orders that are captured either directly after the order or manually in the backend.","Vous pouvez spécifier le statut de la commande pour les commandes qui sont capturés soit directement après la commande ou manuellement depuis le backend."
"You can specify the order status when an order is cancelled.","Vous pouvez spécifier le statut de la commande quand une commande est annulée."
"You can switch between test and live mode. In the test mode, test cards will be available and the transactions will go to the test-sub-acounts.","Vous pouvez choisir entre le mode test et le mode live. Dans le mode de test, des cartes de test seront disponibles et les transactions seront envoyées à des sous-comptes de test."
"You created the order.","Vous avez créé la commande."
"You have no stored aliases.","Vous n'avez pas d'alias."
"You have to enter a card number.","Vous devez insérer le numéro de carte."
"You have to enter bank code of your bank.","Il faut insérer le code banquaire de votre banque."
"You have to enter commercial number of you company.","Il faut insérer le numéro de commerce de votre entreprise."
"You have to enter either the CVC code or the issue number of your card.","Vous devez insérer le code CVC ou le numéro de série de votre carte."
"You have to enter sales tax number of you company.","Vous devez insérer le numéro de la taxe de vente de votre entreprise."
"You have to enter sales tax number of your company.","Vous devez insérer le numéro de la taxe de vente de votre entreprise."
"You have to enter the BIC.","Vous devez saisir le code BIC."
"You have to enter the CVC code from your card.","Vous devez insérer le code CVC de votre carte."
"You have to enter the IBAN.","Il faut insérer l'IBAN du compte banquaire"
"You have to enter the account holder name on the card.","Vous devez insérer le nom du titulaire de la carte."
"You have to enter the account holder name.","Veuillez insérer ici le nom du titulaire de la carte."
"You have to enter the card holder name on the card.","Vous devez insérer le titulaire de la carte."
"You have to enter the location of your bank.","Vous devez insérer le lieu de votre banque."
"You have to enter the name of the account owner.","Vous devez insérer le titulaire de compte"
"You have to enter the name of your bank.","Vous devez insérer le nom de votre banque."
"You have to enter your IBAN Number.","Il faut insérer l'IBAN du compte banquaire"
"You have to enter your bank account number.","Veuillez insérer l'IBAN de votre compte banquaire."
"You have to enter your social security number.","Veuillez insérer votre numéro de sécurité sociale."
"You may choose one of the cards you paid before on this site.","Vous pouvez choisir parmi les cartes utilisées précédemment:"
"You may choose one of your stored payment details.","Sélectionnez l'une des informations de paiement enregistrées pour le paiement"
"You may need to contact Realex for further assistance.","Vous devez contacter Realex pour plus d'aide."
"You trying to use live cards on the test system. Please use only test cards.","Vous essayez d'utiliser des cartes réelles sur le système de test. Veuillez utiliser uniquement des cartes de test."
"You will be redirect to the order confirmation page.","Vous allez être redirigé vers la page de confirmation de commande."
"You will be redirect to your bank to confirm the payment.","Vous serez redirigé vers votre banque pour confirmer le paiement."
"Your browser does not allow the execution of JavaScript. Please activate JavaScript in your browser and reload this page.","Votre navigateur ne permet pas l'exécution de JavaScript. Veuillez activer JavaScript dans votre navigateur et recharger cette page."
"Your card has been cancelled.","Votre carte a été annulée."
"Your card has been declined by a unkown reason.","Votre carte a été refusée par une raison inconnue."
"Your card is expired.","Votre carte est expirée."
"Your card is not enrolled for 3-D secure. The merchant accepts only cards which are enrolled.","Votre carte n'est pas inscrit pour 3D Secure. Le commerçant accepte uniquement les cartes qui sont inscrits pour 3D Secure."
"Your card number seems to be invalid.","Votre numéro de carte n'est pas valide."
"Your card seems to reported as stolen or lost.","Votre carte semble être signalée comme volée ou perdue."
"Your checkout session expired.","Your checkout session expired."
"Your fraud settings prevents the acceptance of this transaction.","Vos paramètres de fraude empêchent l'acceptation de cette transaction."
"Your server IP address is '@IP'.","L'adresse IP de votre serveur est  '@IP'."
"RealexCw Aliases","RealexCw Alias"
"____paymentMethodName____","____paymentMethodName____"
"Realex","Realex"
"Realex Aliases","Alias Realex"
"Realex Error","Erreur de Realex"
"Realex Parameters","Realex Paramètres"
"Realex Refund Items","Realex _ remboursement articles"
"Realex Section","Section Realex"
"Realex Transactions","Transactions de Realex"
"Realex provision in some cases a special merchant ID for MoTo (mail-/telefon-order) transaction. In case you want to use MoTo and you receive such a merchant ID, then fill it here. Otherwise leave this field empty.","Dans certains cas Realex émet une Merchant ID spéciale pour les transactions MoTo (commandes par eMail/téléphone). Dans le cas où vous souhaitez utiliser MoTo et vous recevez une ID de marchand, veuillez la remplir ici. Sinon, laissez ce champ vide."
"Realex: Alias Management","Realex: Gestion des Alias"
"customweb ltd","customweb ltd"
"no","no"
"or","ou"
"yes","Oui"
