"* Required Fields","* campo obbligatorio"
"The next update execution date indicates when the next cron is run to update the transaction state.","La data del prossimo aggiornamento indica quando il prossimo cron é lanciato per aggiornare lo stato della transazione."
"The order is not fully completed. Please contact the store owner.","Il pagamento non ha potuto andare a buon fine."
"The password key given by Realex which is needed in order to perform a refund.","La password fornita da Realex é necessaria per effettuare un rimborso."
"The payment failed. The response data has been tampered. Please contact the merchant.","Il pagamento non é andato a buon fine. I dati di risposta sono stati manomesso. Si prega di contattare il commerciante."
"The payment form will be displayed after submitting the order.","Il formulario di pagamento sarà mostrato dopo aver effettuato l'ordine."
"The payment has been accepted.","Il pagamento é stato accettato."
"The payment has been denied.","Il pagamento é stato rifiutato."
"The payment method !paymentMethodName does not support the currency '!currency'.","ll metodo di pagamento !paymentMethodName non supporta la moneta '!currency'."
"The payment method !paymentMethodName is not available in your country ('!country').","Il metodo di pagamento !paymentMethodName non è disponibile nel tuo paese ('!country')."
"The payment update has been made.","L'aggiornamento del pagamento é stato fatto."
"The paymnet system seems currently to be offline. Please try it later again.","Il sistema di pagamento sembra essere attualmente offline. Si prega di riprovare più tardi."
"The provided signature does not match with the one calculated.","La firma fornita non corrisponde a quella calcolata."
"The rang (PBX_RANG) as defined in the live backoffice of Realex. It must be nummeric value with length two. In the backoffice it may be displayed as a three char value. You must truncate the first digit.","The rang (PBX_RANG) as defined in the live backoffice of Realex. It must be nummeric value with length two. In the backoffice it may be displayed as a three char value. You must truncate the first digit."
"The redirect response from PayPal was unsuccessful.","La risposta di reindirizzamento da PayPal non ha avuto successo."
"The refund item with SKU '@sku' has a higher amount (@amountItem) as the original item (@amountOriginal).","Il prodotto rimborsato con SKU '@sku' ha una quantità (@amountItem) superiore rispetto al prodotto originale (@amountOriginal)."
"The refund item with SKU '@sku' is not present in the original order.","Il prodotto rimborsato con SKU '@sku' non é presente nell'ordine originale."
"The refunding could not be conducted. Error code: !error.","The refunding could not be conducted. Error code: !error."
"The response hash seems to be manipulated, hence the transaction was rejected.","L'hash della risposta sembra essere stato manipolato, quindi la transazione é stata respinta."
"The response seems to be manipulated, hence the transaction was rejected.","La risposta sembra essere manipolata, quindi la transazione é stata respinta."
"The retailer is not known.","Il commerciante é sconosciuto."
"The shopping cart has been altered!","Il carrello é stato modificato!"
"The signature could not be verified.","The signature could not be verified."
"The signature key given by Realex .","La chiave di firma fornita da Realex."
"The site id (PBX_RANG) as defined in the backoffice of Realex.","The site id (PBX_RANG) as defined in the backoffice of Realex."
"The total refund amount (!totalRefundedAmount) cannot be greater than the captured amount (!capturedAmount).","L'importo totale rimborsato (!totalRefundedAmount) non può essere superiore all'importo acquisito (!capturedAmount)."
"The transaction cannot be cancelled online.","Impossibile cancellare la transazione online."
"The transaction cannot be captured online.","Impossibile registrare la transazione online."
"The transaction cannot be refunded online.","Impossibile rimborsare la transazione online."
"The transaction failed due to an unkown reason.","L'operazione non é andata a buon fine a causa di una ragione sconosciuta."
"The transaction failed with error code !code.","The transaction failed with error code !code."
"The transaction is only executed in the test system. The goods should not be delivered.","La transazione viene eseguita solo nel sistema di test. Le merci non devono essere consegnate."
"The transaction was not valid. The bank refuse it.","L'operazione non era valida ed é stata rifiutata dalla banca."
"The transactions with one of the selected CVN Reuslts will be marked as uncertain. (Here Realex-Payment recommend 'CVN Not Matched' and 'CVN Not Processed')","Le transazioni con uno dei CVN selezionati saranno contrassegnati come incerto. (Qui Realex-pagamento sono raccomandati 'CVN Not Matched' e'CVN Not Processed')"
"The transactions with one of the selected CVN Reuslts will be marked as uncertain. (Here Realex recommend 'CVN Not Matched' and 'CVN Not Processed')","Le transazioni con uno dei CVN selezionati saranno contrassegnati come incerti. (Qui Realex raccomanda 'CVN Not Matched' and 'CVN Not Processed')"
"The whole transaction is cancelled.","L'intera transazione é stata annullata."
"There has been a problem during the processing of your payment.","C'é stato un problema durante l'elaborazione del tuo pagamento."
"There has been a problem during the processing of your payment. Please contact the shop owner to make sure your order was placed successfully.","Si é verificato un problema durante l'elaborazione del pagamento. Si prega di contattare il proprietario del negozio per assicurarsi che il vostro ordine sia stato effettuato con successo."
"There is a problem with your license. Please contact us (www.sellxed.com/support). Reason: %1","Si é verificato un problema con la tua licenza. Ti preghiamo di contattarci (www.sellxed.com/support). Reason: %1"
"There is a problem with your license. Please contact us (www.sellxed.com/support). Reason: %s","C'é un problema con la tua licenza. Contattaci (www.sellxed.com/support). Causa : %s"
"There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account.","Questo indirizzo email é già registrato. Effettua il login o inserisci un nuovo indirizzo email per creare un account."
"There occours a network outage at the bank side.","Si é verificata un' interruzione di rete da parte della banca."
"There occours an error with the payment system.","Si é verificato un errore con il sistema di pagamento."
"There seems to be a problem with the Realex module.","Sembra esserci un problema con il modulo Realex."
"There seems to be an error in the implementation of the payment module. Details: '!details'.","Sembra che ci sia un errore nell'implementazione del modulo di pagamento. Details: '!details'."
"There seems to be an error of your Realex account. Details: '!details'.","Sembra che ci sia un errore nel tuo account Realex . Dettagli: '!details'."
"There was an error validating the login and password.","C'è stato un errore durante la convalida del login e password."
"There was no PayPal token returned. Please contact your merchant.","Non é stato restituito nessun token Paypal. Si prega di contattare il rivenditore."
"This URL has to be placed in the backend of Realex under Configuration > Technical Information > Transaction Feedback and their in the two fields for 'Direct HTTP server-to-server request'.","Questo URL deve essere posizionato nel backend di Realex in Configurazione > Informazioni tecniche > Transaction Feedback e loro nei due campi per 'Direct HTTP server-to-server request'."
"This URL has to be reported to Realex. The transaction notification must be sent to this URL.","Questo URL deve essere riferito a Realex. La notifica della transazione deve essere inviata a questo URL."
"This account is not confirmed. <a href=""%s"">Click here</a> to resend confirmation email.","Questo account non é confermato. <a href=""%s"">Clicca qui</a> per rimandare l'email di conferma."
"This is a brief instruction of the main and most important installation steps, which need to be performed when installing the Realex module. For detailed instructions regarding additional and optional settings, please refer to the enclosed instructions in the zip.","Questa é una breve istruzione delle fasi di installazione più importanti, che devono essere eseguite quando si installa il modulo Realex. Per istruzioni dettagliate relative alle impostazioni aggiuntive e opzionali, consultare le istruzioni allegate nello zip."
"This is the URL required by the Skin Creator","Questo é l'URL richiesto dal Skin Creator"
"This is the name of the account holder).","Questo é il nome del titolare del conto."
"This is the technical alias token (Alias Manger/Realvault).","Questo é un alias token tecnico (Alias Manger/Realvault)."
"This password is used for recurring payments and for the alias manager as well as for the server authorization. This is the password of the Realex account.","This password is used for recurring payments and for the alias manager as well as for the server authorization. This is the password of the Realex account."
"This setting can be used to activate resp. deactivate the 3D secure check. Please check with PayBox if you are allowed to deactivate the 3D secure check. This setting has only an effect when you use the payment page.","This setting can be used to activate resp. deactivate the 3D secure check. Please check with PayBox if you are allowed to deactivate the 3D secure check. This setting has only an effect when you use the payment page."
"This status is set, when the payment was successfull and it is authorized.","Questo status é selezionato quando il pagamento ha avuto esito positivo ed è autorizzato."
"This transaction is already closed for further captures.","Questa transazione é già chiusa."
"This transaction is already closed for further refunds.","Questa transazione é stata chiusa e non sono più possibili rimborsi."
"This transaction no longer exists.","La transazione non esiste più."
"Timeout for pending payments (min)","Timeout per i pagamenti in sospeso"
"Titel","Titolo"
"Title","Title"
"Title of the payment method","Nome del metodo di pagamento"
"To use the RealVault some banks require additional security measures to make sure that the customer account can not be used by an attacker. With this option you can control, what measure is applied. Either the CVC can be asked always or the delivery address is checked, if it is the same as in the initial transaction.","Per utilizzare il RealVault alcune banche richiedono misure di sicurezza aggiuntive per assicurarsi che l'account cliente non possa essere utilizzato da un utente malintenzionato. Con questa opzione é possibile controllare quale misura viene applicata. O il CVC può essere richiesto sempre o l'indirizzo di consegna é controllato, se é lo stesso della transazione iniziale."
"Total","Totale"
"Total Shipping Charges","Totale spese di trasporto"
"Track order history","Traccia lo storico dell'ordine"
"Transaction","tbcl_realexcw_transaction_view"
"Transaction Authorized","Transazione autorizzata"
"Transaction Cancelled","Transazione annullata"
"Transaction Captured","Transazione registrata"
"Transaction History","Storico della transazione"
"Transaction ID Prefix","Transaction ID Prefix"
"Transaction Id","Transaction ID"
"Transaction Paid","La transazione é stata pagata"
"Transaction Uncertain","Transazione incerta"
"Transaction Updates","Transaction Updates"
"Transaction cancelled successfully","La transazione é stata annullata con successo."
"Transaction captured successfully","Transazione registrata con successo"
"Transaction history","Sintesi delle transazioni"
"Transaction was authorized over the deferred authorization mechanism.","La transazione é stata autorizzata con il meccanismo di autorizzazione differita."
"Transactions","Transazioni"
"Transactions with one of the selected statuses will be marked as certain. Uncertain transactions need manual confirmation by the merchant. This service only works for UK cardholders as it uses the street address and postcodes of the cardholders. The Realauth redirect service supports AVS where it is supported by the merchant???s acquiring bank and the cardholder???s issuing bank. If a transaction fails an AVS check it will not automatically be declined by your bank. It is an advisory service and requires that the details of non matched transactions be checked by the merchant.","Le transazioni con uno degli status selezionati verranno contrassegnate come certe. Le transazioni incerte hanno bisogno di una conferma manuale da parte del commerciante. Questo servizio funziona solo per i titolari di carta del Regno Unito in quanto utilizza l'indirizzo e codici postali dei titolari di carta. Il Realauth redirect servizio supporta AVS dove viene supportato acquisendo banca del commerciante e la banca emittente del titolare della carta. Se una transazione fallisce un AVS controllare che non sarà automaticamente rifiutato dalla banca. Si tratta di un servizio di consulenza e richiede che i dettagli delle transazioni non abbinate essere controllate dal commerciante."
"Transactions with one of the selected statuses will be marked as certain. WARNING: Uncertain transactions by the definition of Realex Payments (default value) are not covered by the credit card company, the merchant carries the risk. Nevertheless some merchants prefer to take some risk instead of checking uncertain transactions manually.","Transazioni con uno degli status selezionati verranno contrassegnati come certa. ATTENZIONE: le operazioni incerte nella definizione di Realex (valore predefinito) non sono coperti dalla società di carte di credito, il mercante comporta il rischio. Ciò nonostante alcuni commercianti preferiscono prendere qualche rischio invece di controllare le transazioni incerti manualmente."
"U: Unable to check (not certified etc)","U: impossibile da verificare (non certificato)"
"URLs","URL"
"Unable to save the invoice.","Impossibile salvare la fattura."
"Uncertain Status","Status incerto"
"Uncertain transactions","Transazioni incerte"
"Update","Aggiornamento"
"Update Qty's","Regolare la quantità"
"Update interval for payments","Intervallo di aggiornamento per i pagamenti"
"Update order and transaction information over cron.","Aggiorna l'ordine e le informazioni sulle transazioni tramite cron."
"Update process by accessing the update URL or by invoking in the admin interface.","Aggiorna il processo mediante l'accesso all' URL di aggiornamento o richiamando nella interfaccia di amministrazione."
"Use Base Currency","Usa valuta di base"
"Use Default","Usare le impostazioni standard"
"Use base currency","Usa la valuta di base"
"VISA","Visa"
"Validation","Validazione"
"Version","Versione"
"View","Visualizza"
"Wait On Success Page","Aspetta sulla pagina di successo"
"We can not process the 3-D secure response, because we do not get the additional data transmitted with the redirection to the ACS service.","Non possiamo elaborare la risposta di 3D Secure, perché non otteniamo i dati aggiuntivi trasmessi con il reindirizzamento al servizio ACS."
"We cannot get the transaction instance.","Non possiamo stabilire una transazione."
"We experienced a problem with your sellxed payment extension. For more information, please visit the configuration page of the plugin.","Si é verificato un problema con l'estensione del tuo pagamento sellxed . Per maggiori informazioni, si prega di visitare la pagina di configurazione del Realex plugin."
"When the store is not available (network outage, server failure or any other outage), when the feedback of Realex is sent, then the transaction state is not updated. Hence no order confirmation e-mail is sent and the order is not in the paid state. By activating the transaction update, such transactions can be authorized later over direct link. To use this feature the update service must be activated and the API username and the API password must be set.","When the store is not available (network outage, server failure or any other outage), when the feedback of Realex is sent, then the transaction state is not updated. Hence no order confirmation e-mail is sent and the order is not in the paid state. By activating the transaction update, such transactions can be authorized later over direct link. To use this feature the update service must be activated and the API username and the API password must be set."
"When using an external checkout, the customer can either be asked to chose an option to authenticate (as guest, register or login) or he can always be checked out as guest. For the second option to work, guest checkout has to be enabled in magento.","Quando si utilizza un checkout esterno, può essere chiesto al cliente di scegliere l'opzione di autenticazione (come ospite, registrato o login) oppure può sempre fare il checkout come ospite. Affinché  la seconda opzione funzioni, il checkout come ospite deve essere abilitato in Magento."
"With this option set to yes, all valid transactions will be marked as certain. WARNING: Uncertain transactions by the definition of Realex (default value) are not covered by the credit card company, the merchant carries the risk. Nevertheless some merchants prefer to take some risk instead of checking uncertain transactions manually.","Con questa opzione impostata su ""Si"", tutte le transazioni valide saranno contrassegnati come certe. ATTENZIONE: le operazioni incerte per definizione di Realex (valore di default) non sono coperte dalla società emittente della carta di credito, quindi i rischi restano del commerciante. Ciò nonostante alcuni commercianti preferiscono prendere qualche rischio invece di controllare le transazioni incerte manualmente."
"With this setting set to active, an AVS-Check (Address Verification System) is carried out. According to your AVS-Settings.","Con questa impostazione impostata su attiva, un AVS-Check (Address Verification System) viene effettuato in base alle impostazioni AVS."
"With this setting set to active, you customers credit card credential will be stored safely at Realex. A token refering to the stored information is stored together with the corresponding customer data. That way your customer only need to type the minimum amount of data. Realex takes charges for the RealVault-Service. Please make sure to activate RealVault at Realex first.","Se questa impostazione é impostata su attivo, i clienti della carta di credito credenziali saranno conservati in modo sicuro a Realex. Un  token riferito alle informazioni memorizzate é salvato insieme ai  dati del cliente corrispondenti. In questo modo il cliente ha solo bisogno di digitare una quantità minima di dati. Realex si occupa di l'RealVault-Service. Si prega di assicurarsi di attivare RealVault in Realex prima."
"Year","Anno"
"Yes","Si"
"Yes, please store my card data for next time.","Yes, please store my card data for next time."
"Yes, use images for the brand selection.","Yes, use images for the brand selection."
"You are not allowed to do this transaction.","Non hai il permesso di fare questa operazione."
"You can allow the customers to manage/delete their aliases in the their account.","Puoi permettere ai clienti di gestire/eliminare il loro alias nel loro account."
"You can decide on the order status new orders should have after they are processed successfully.","Definire lo stato dell'ordine per i nuovi ordini, che sono stati trattati con successo."
"You can decide on the order status new orders should have that have an uncertain authorization status.","Definire lo stato dell'ordine per i nuovi ordini che hanno uno status incerto."
"You can specify the order status for new orders that have an uncertain authorisation status.","E' possibile specificare lo stato dell'ordine per i nuovi ordini che hanno uno stato di autorizzazione incerto."
"You can specify the order status for orders that are captured either directly after the order or manually in the backend.","È possibile specificare lo stato dell'ordine per gli ordini che vengono registrati subito dopo l'ordine o manualmente nel backend."
"You can specify the order status when an order is cancelled.","È possibile specificare lo stato dell'ordine quando un ordine viene annullato."
"You can switch between test and live mode. In the test mode, test cards will be available and the transactions will go to the test-sub-acounts.","?? possibile passare tra modalit?? live e test. Nella modalit?? di test, schede di test saranno disponibili e le operazioni andranno ai test-sub-acounts."
"You created the order.","Hai creato questo ordine."
"You have no stored aliases.","Non hai nessun alias memorizzato."
"You have to enter a card number.","SI prega di inserire il numero della carta di credito."
"You have to enter bank code of your bank.","Si prega di inserire il codice delle tua banca"
"You have to enter commercial number of you company.","Si prega di inserire il numero di iscrizione nel registro delle imprese."
"You have to enter either the CVC code or the issue number of your card.","Si prega di inserire il codice CVC o il numero di emissione della carta."
"You have to enter sales tax number of you company.","SI prega di inserire il numero di partita IVA."
"You have to enter sales tax number of your company.","È necessario inserire il numero di imposta sulle vendite della tua azienda."
"You have to enter the BIC.","Si prega di inserire il BIC della tua banca."
"You have to enter the CVC code from your card.","Si prega di inserire il CVC della carta di credito."
"You have to enter the IBAN.","Si prega di inserire il codice IBAN."
"You have to enter the account holder name on the card.","Si prega di inserire il nome del titolare del conto come scritto sulla carta."
"You have to enter the account holder name.","Si prega di inserire qui il nome del titolare del conto sulla carta."
"You have to enter the card holder name on the card.","Si prega di inserire il nome del proprietario della carta."
"You have to enter the location of your bank.","Si prega di inserire la posizione della banca."
"You have to enter the name of the account owner.","Si prega di inserire il nome del titolare del conto."
"You have to enter the name of your bank.","Si prega di indicare il nome della banca."
"You have to enter your IBAN Number.","Si prega di inserire il codice IBAN."
"You have to enter your bank account number.","Si prega di inserire l'IBAN (numero di conto bancario internazionale)."
"You have to enter your social security number.","Si prega di inserire il numero di sicurezza sociale."
"You may choose one of the cards you paid before on this site.","È possibile scegliere una delle schede usate in precedenza:"
"You may choose one of your stored payment details.","È possibile scegliere uno dei tuoi dati di pagamento memorizzati."
"You may need to contact Realex for further assistance.","Potrebbe essere necessario contattare Realex per ulteriore assistenza."
"You trying to use live cards on the test system. Please use only test cards.","Si sta tentando di usare carte dal vivo sul sistema di test. Si prega di utilizzare solo carte di test."
"You will be redirect to the order confirmation page.","Verrai reindirizzato alla pagina di conferma dell'ordine."
"You will be redirect to your bank to confirm the payment.","Verrai reindirizzato alla tua banca per confermare il pagamento."
"Your browser does not allow the execution of JavaScript. Please activate JavaScript in your browser and reload this page.","Il tuo browser non permette l'esecuzione di JavaScript. Si prega di attivare JavaScript nel tuo browser e ricarica questa pagina."
"Your card has been cancelled.","La tua carta é stata annullata."
"Your card has been declined by a unkown reason.","La tua carta é stata rifiutata per un motivo sconosciuto."
"Your card is expired.","La tua carta é scaduta."
"Your card is not enrolled for 3-D secure. The merchant accepts only cards which are enrolled.","La tua carta non é iscritta per il 3-D Secure. Il commerciante accetta solo carte iscritte al 3-D secure."
"Your card number seems to be invalid.","Il numero della carta non é valido."
"Your card seems to reported as stolen or lost.","La vostra carta é segnalata come rubata o persa."
"Your checkout session expired.","Your checkout session expired."
"Your fraud settings prevents the acceptance of this transaction.","L'impostazione frode impedisce l'accettazione di questa transazione."
"Your server IP address is '@IP'.","L'indirizzo IP del tuo server é '@IP'."
"RealexCw Aliases","RealexCw Alias"
"____paymentMethodName____","____paymentMethodName____"
"Realex Aliases","Realex Aliases"
"Realex Error","Errore di Realex"
"Realex Parameters","Impostazioni per Realex"
"Realex Refund Items","Articoli rimborsati Realex"
"Realex Section","Sezione Realex"
"Realex Transactions","Realex transazioni"
"Realex provision in some cases a special merchant ID for MoTo (mail-/telefon-order) transaction. In case you want to use MoTo and you receive such a merchant ID, then fill it here. Otherwise leave this field empty.","In alcuni casi Realex rilascia un ID speciale commerciante per le transazioni MOTO. Nel caso in cui si desideri utilizzare MoTo e si riceve un tale ID commerciante, compilare qui. In caso contrario, lasciare questo campo vuoto."
"Realex:","Realex:"
"Realex: Alias Management","Realex: Alias Management"
"customweb ltd","customweb SRL"
"no","no"
"or","oppure"
"yes","yes"
